id,name,family,mode,bars,steps,subdivision,density,polyphony,minNote,maxNote,colour,tags,bank,harmonyId,studyId,nodeId
"fourth-8403a5e8b34a4bd685b37f8d","Filigree M0001 - mono 8b","Filigree","melodic","8","256","8","0.59375","1","24","47","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 8spq, open, mono, angular, connected, structure, harmonic-minor, alternate","banks/01-filigree-melodic.nseqbank","H066","fourth-atlas-0-30","nmu573771_1"
"fourth-ffb7319708a45c06a42b4ebe","Filigree M0002 - dyadic 2b","Filigree","melodic","2","32","4","0.46875","2","53","63","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, open, dyadic, stepwise, connected, cell, dorian, evolve","banks/01-filigree-melodic.nseqbank","H027","fourth-atlas-0-62","nmu55ic3s_2"
"fourth-ffa715de02101783dfce9720","Filigree M0003 - chordal 4b","Filigree","melodic","4","64","4","0.4375","3","24","58","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 4spq, open, chordal, angular, plucked, cell, whole-tone, evolve","banks/01-filigree-melodic.nseqbank","H110","fourth-atlas-0-50","nmu55j5kp_4"
"fourth-2bc612ced2afff2128b21885","Filigree M0004 - mono 2b","Filigree","melodic","2","24","3","0.5833333333333334","1","37","55","#56C8C3","factory, rn, filigree, melodic, 2bar, triplet, 3spq, open, mono, angular, held, structure, chromatic, alternate","banks/01-filigree-melodic.nseqbank","H186","fourth-atlas-0-38","nmu9zolp7_4"
"fourth-74302535038d4a271f577606","Filigree M0005 - dyadic 4b","Filigree","melodic","4","64","4","0.46875","2","50","64","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 4spq, open, dyadic, stepwise, held, composite, pentatonic, answer","banks/01-filigree-melodic.nseqbank","H148","fourth-atlas-0-45","nmu9zy9yk_19"
"fourth-e1b80dfe6af92e1a6c95d5bc","Filigree M0006 - chordal 2b","Filigree","melodic","2","32","4","0.375","3","26","50","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, open, chordal, angular, plucked, cell, whole-tone, evolve","banks/01-filigree-melodic.nseqbank","H105","fourth-atlas-0-49","nmu55ic3s_2"
"fourth-2efce425a0e955ee8aa84d59","Filigree M0007 - chordal 8b","Filigree","melodic","8","256","8","0.5","3","24","57","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 8spq, open, chordal, angular, connected, cell, diatonic, repeat","banks/01-filigree-melodic.nseqbank","H011","fourth-atlas-0-5","nmu55j5kp_4"
"fourth-41f64a3b0832c7f3d790324b","Filigree M0008 - mono 2b","Filigree","melodic","2","64","8","0.71875","1","28","46","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 8spq, dense, mono, angular, plucked, structure, whole-tone, evolve","banks/01-filigree-melodic.nseqbank","H110","fourth-atlas-0-17","nmu9zolp7_4"
"fourth-985a5ef3bd0a4703807ee125","Filigree M0009 - chordal 2b","Filigree","melodic","2","32","4","0.75","3","48","82","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, dense, chordal, stepwise, plucked, cell, whole-tone, answer, even","banks/01-filigree-melodic.nseqbank","H099","fourth-atlas-0-42","nmu55j5kp_4"
"fourth-64d1c84ff9d178ff001ee184","Filigree M0010 - chordal 2b","Filigree","melodic","2","16","2","0.5","3","48","82","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 2spq, open, chordal, angular, connected, structure, octatonic, repeat","banks/01-filigree-melodic.nseqbank","H121","fourth-atlas-0-22","nmu573771_1"
"fourth-e933b9bdd520d43aa8d0ce26","Filigree M0011 - mono 1b","Filigree","melodic","1","32","8","0.5","1","57","79","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 8spq, open, mono, wide, connected, cell, melodic-minor, answer","banks/01-filigree-melodic.nseqbank","H077","fourth-atlas-0-49","nmu55j5kp_4"
"fourth-40e7e2b70b2586895b919bee","Filigree M0012 - mono 1b","Filigree","melodic","1","8","2","0.75","1","36","55","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 2spq, dense, mono, wide, held, structure, octatonic, evolve, even","banks/01-filigree-melodic.nseqbank","H128","fourth-atlas-0-6","nmu58ji6e_11"
"fourth-9e54344bb21bcf15a36de017","Filigree M0013 - mono 2b","Filigree","melodic","2","48","6","0.5416666666666666","1","50","81","#56C8C3","factory, rn, filigree, melodic, 2bar, triplet, 6spq, open, mono, wide, plucked, structure, pentatonic, alternate","banks/01-filigree-melodic.nseqbank","H156","fourth-atlas-0-13","nmu58ji6e_11"
"fourth-2a81707002df03bbf795b326","Filigree M0014 - mono 4b","Filigree","melodic","4","48","3","0.4166666666666667","1","41","69","#56C8C3","factory, rn, filigree, melodic, 4bar, triplet, 3spq, open, mono, wide, held, composite, melodic-minor, evolve","banks/01-filigree-melodic.nseqbank","H095","fourth-atlas-0-29","nmua0d3hu_7"
"fourth-05ed15bdc27a03cd9718036e","Filigree M0015 - mono 4b","Filigree","melodic","4","128","8","0.4375","1","41","45","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 8spq, open, mono, stepwise, plucked, composite, dorian, evolve","banks/01-filigree-melodic.nseqbank","H031","fourth-atlas-0-31","nmua0qtgn_8"
"fourth-05691bc7e87c50bd39065978","Filigree M0016 - chordal 1b","Filigree","melodic","1","32","8","0.75","3","28","59","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 8spq, dense, chordal, stepwise, held, cell, diatonic, repeat","banks/01-filigree-melodic.nseqbank","H017","fourth-atlas-0-62","nmu55ic3s_2"
"fourth-21eff5bfc802708c4d1cbc2f","Filigree M0017 - chordal 2b","Filigree","melodic","2","32","4","0.46875","3","24","47","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, open, chordal, stepwise, plucked, cell, chromatic, evolve","banks/01-filigree-melodic.nseqbank","H172","fourth-atlas-0-31","nmu55kn74_6"
"fourth-608de212e0873ea6c1841065","Filigree M0018 - dyadic 8b","Filigree","melodic","8","128","4","0.75","2","48","82","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 4spq, dense, dyadic, angular, connected, cell, whole-tone, repeat, even","banks/01-filigree-melodic.nseqbank","H116","fourth-atlas-0-36","nmu55ic3s_2"
"fourth-03cf4d81220f0319741dcc21","Filigree M0019 - mono 1b","Filigree","melodic","1","16","4","0.375","1","50","65","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 4spq, open, mono, wide, plucked, structure, melodic-minor, alternate","banks/01-filigree-melodic.nseqbank","H084","fourth-atlas-0-47","nmu58ji6e_11"
"fourth-227ff5ae9720374d6dbfccb0","Filigree M0020 - mono 0.5b","Filigree","melodic","0.5","8","4","0.5","1","69","79","#56C8C3","factory, rn, filigree, melodic, 0.5bar, straight, 4spq, open, mono, wide, plucked, structure, pentatonic, repeat","banks/01-filigree-melodic.nseqbank","H156","fourth-atlas-0-16","nmu58ji6e_11"
"fourth-6e5fdf12681e96ca68088358","Filigree M0021 - mono 2b","Filigree","melodic","2","64","8","0.25","1","48","76","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 8spq, sparse, mono, wide, connected, cell, diatonic, repeat","banks/01-filigree-melodic.nseqbank","H014","fourth-atlas-0-47","nmu55j5kp_4"
"fourth-523dfe55ba4bf2f7adfa2c41","Filigree M0022 - dyadic 2b","Filigree","melodic","2","32","4","0.6875","2","48","81","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, open, dyadic, wide, plucked, structure, pentatonic, evolve","banks/01-filigree-melodic.nseqbank","H154","fourth-atlas-0-42","nmu58ji6e_11"
"fourth-2097e935eddbc200c527c889","Filigree M0023 - mono 8b","Filigree","melodic","8","128","4","0.5","1","50","81","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 4spq, open, mono, wide, held, composite, dorian, alternate","banks/01-filigree-melodic.nseqbank","H047","fourth-atlas-0-20","nmua0d3hu_7"
"fourth-f089efebfaff869cea8d4a51","Filigree M0024 - mono 4b","Filigree","melodic","4","48","3","0.375","1","36","54","#56C8C3","factory, rn, filigree, melodic, 4bar, triplet, 3spq, open, mono, wide, held, cell, chromatic, alternate","banks/01-filigree-melodic.nseqbank","H178","fourth-atlas-0-62","nmu55ic3s_2"
"fourth-6de17e79309eab3492aa8ee7","Filigree M0025 - chordal 0.5b","Filigree","melodic","0.5","12","6","0.75","3","38","60","#56C8C3","factory, rn, filigree, melodic, 0.5bar, triplet, 6spq, dense, chordal, stepwise, plucked, structure, whole-tone, answer, even","banks/01-filigree-melodic.nseqbank","H097","fourth-atlas-0-39","nmu9zolp7_4"
"fourth-143e931c88f86de3fc1b29ca","Filigree M0026 - mono 2b","Filigree","melodic","2","48","6","0.4583333333333333","1","38","52","#56C8C3","factory, rn, filigree, melodic, 2bar, triplet, 6spq, open, mono, angular, plucked, cell, pentatonic, alternate","banks/01-filigree-melodic.nseqbank","H168","fourth-atlas-0-18","nmu55ic3s_2"
"fourth-4413fce77cb92a449f2e2a08","Filigree M0027 - mono 2b","Filigree","melodic","2","32","4","0.5","1","24","55","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, open, mono, angular, held, cell, harmonic-minor, repeat","banks/01-filigree-melodic.nseqbank","H055","fourth-atlas-0-34","nmu55kn74_6"
"fourth-a4a8d39d7ffb9e319cfe7530","Filigree M0028 - dyadic 0.5b","Filigree","melodic","0.5","16","8","0.5","2","27","36","#56C8C3","factory, rn, filigree, melodic, 0.5bar, straight, 8spq, open, dyadic, stepwise, connected, composite, harmonic-minor, repeat","banks/01-filigree-melodic.nseqbank","H065","fourth-atlas-0-2","nmu9zy9yk_19"
"fourth-171281141cee5b7c86dc7f90","Filigree M0029 - mono 8b","Filigree","melodic","8","128","4","0.5","1","38","67","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 4spq, open, mono, angular, held, structure, dorian, repeat","banks/01-filigree-melodic.nseqbank","H029","fourth-atlas-0-56","nmu58ji6e_11"
"fourth-33c6edc42338255694100fdc","Filigree M0030 - chordal 8b","Filigree","melodic","8","256","8","0.4375","3","24","58","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 8spq, open, chordal, angular, connected, composite, dorian, answer","banks/01-filigree-melodic.nseqbank","H034","fourth-atlas-0-55","nmua0d3hu_7"
"fourth-b91008729884d96aaaedc737","Filigree M0031 - chordal 8b","Filigree","melodic","8","96","3","0.5","3","28","48","#56C8C3","factory, rn, filigree, melodic, 8bar, triplet, 3spq, open, chordal, stepwise, held, composite, diatonic, repeat","banks/01-filigree-melodic.nseqbank","H008","fourth-atlas-0-9","nmu9zy9yk_19"
"fourth-f9b41dd48b12913d6ab04c2f","Filigree M0032 - mono 8b","Filigree","melodic","8","128","4","0.375","1","37","59","#56C8C3","factory, rn, filigree, melodic, 8bar, straight, 4spq, open, mono, wide, connected, composite, chromatic, answer","banks/01-filigree-melodic.nseqbank","H184","fourth-atlas-0-35","nmua0d3hu_7"
"fourth-4c0d2be77ded53e03b95c2f8","Filigree M0033 - dyadic 8b","Filigree","melodic","8","192","6","0.5","2","24","57","#56C8C3","factory, rn, filigree, melodic, 8bar, triplet, 6spq, open, dyadic, wide, connected, cell, pentatonic, evolve","banks/01-filigree-melodic.nseqbank","H148","fourth-atlas-0-35","nmu55j5kp_4"
"fourth-2a4a4e6d469499b32cc51f8d","Filigree M0034 - chordal 1b","Filigree","melodic","1","24","6","0.4583333333333333","3","49","70","#56C8C3","factory, rn, filigree, melodic, 1bar, triplet, 6spq, open, chordal, stepwise, connected, cell, chromatic, evolve","banks/01-filigree-melodic.nseqbank","H181","fourth-atlas-0-43","nmu55ic3s_2"
"fourth-b38632d1559495c632c77784","Filigree M0035 - chordal 4b","Filigree","melodic","4","64","4","0.4375","3","48","81","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 4spq, open, chordal, angular, held, cell, pentatonic, alternate","banks/01-filigree-melodic.nseqbank","H150","fourth-atlas-0-46","nmu55j5kp_4"
"fourth-52ffb50eef73805d77781209","Filigree M0036 - mono 1b","Filigree","melodic","1","16","4","0.5","1","48","69","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 4spq, open, mono, wide, connected, composite, diatonic, alternate","banks/01-filigree-melodic.nseqbank","H014","fourth-atlas-0-46","nmua0d3hu_7"
"fourth-61bf40246dfa43576f9ffaac","Filigree M0037 - mono 4b","Filigree","melodic","4","64","4","0.5625","1","24","44","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 4spq, open, mono, angular, connected, structure, chromatic, alternate","banks/01-filigree-melodic.nseqbank","H177","fourth-atlas-0-59","nmu9zolp7_4"
"fourth-297b5a516bdd6294fe22a68a","Filigree M0038 - mono 4b","Filigree","melodic","4","128","8","0.3125","1","48","68","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 8spq, open, mono, angular, plucked, structure, chromatic, evolve","banks/01-filigree-melodic.nseqbank","H191","fourth-atlas-0-55","nmu573771_1"
"fourth-26c506f0b988b922347539f7","Filigree M0039 - dyadic 1b","Filigree","melodic","1","8","2","0.5","2","43","53","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 2spq, open, dyadic, stepwise, plucked, cell, harmonic-minor, evolve","banks/01-filigree-melodic.nseqbank","H053","fourth-atlas-0-54","nmu55j5kp_4"
"fourth-69aff15963bf36fea495c3a8","Filigree M0040 - mono 4b","Filigree","melodic","4","64","4","0.625","1","33","51","#56C8C3","factory, rn, filigree, melodic, 4bar, straight, 4spq, open, mono, stepwise, held, cell, dorian, repeat","banks/01-filigree-melodic.nseqbank","H034","fourth-atlas-0-36","nmu55j5kp_4"
"fourth-be15f5972cc399cb753cbe8b","Filigree M0041 - mono 1b","Filigree","melodic","1","16","4","0.5","1","45","69","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 4spq, open, mono, wide, plucked, cell, diatonic, repeat","banks/01-filigree-melodic.nseqbank","H011","fourth-atlas-0-24","nmu55kn74_6"
"fourth-a9047ee29d1291fb03098995","Filigree M0042 - dyadic 1b","Filigree","melodic","1","32","8","0.5625","2","50","69","#56C8C3","factory, rn, filigree, melodic, 1bar, straight, 8spq, open, dyadic, angular, connected, structure, pentatonic, evolve","banks/01-filigree-melodic.nseqbank","H150","fourth-atlas-0-40","nmu9zolp7_4"
"fourth-085d4afa80c2a22dc55d4095","Filigree M0043 - mono 2b","Filigree","melodic","2","24","3","0.4166666666666667","1","69","79","#56C8C3","factory, rn, filigree, melodic, 2bar, triplet, 3spq, open, mono, angular, plucked, composite, pentatonic, repeat, duple","banks/01-filigree-melodic.nseqbank","H168","fourth-atlas-0-18","nmua0d3hu_7"
"fourth-109971354710ea201c6b9d9f","Filigree M0044 - dyadic 2b","Filigree","melodic","2","32","4","0.4375","2","49","78","#56C8C3","factory, rn, filigree, melodic, 2bar, straight, 4spq, open, dyadic, angular, held, structure, octatonic, evolve","banks/01-filigree-melodic.nseqbank","H140","fourth-atlas-0-13","nmu573771_1"
